customer_id,recency,frequency,monetary,avg_purchase_value,avg_time_on_site,avg_clicks,recency_score,frequency_score,monetary_score,rfm_score,rfm_value,cluster,segment,segment_description
10000,2,2,694.0699999999999,347.03499999999997,287.7,23.5,5,4,5,545,14,3,Champions,"Best customers - Buy frequently, spend the most, and purchased recently"
10002,4,1,164.28,164.28,25.1,6.0,4,1,3,413,8,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10004,5,1,186.92,186.92,16.5,10.0,3,1,3,313,7,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10006,3,2,156.63,78.315,20.299999999999997,9.5,4,4,3,443,11,5,Occasional Buyers,Average customers - Opportunity for targeted campaigns
10013,2,1,705.4,705.4,596.0,20.0,5,1,5,515,11,1,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10015,1,1,191.21,191.21,26.3,16.0,5,1,3,513,9,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10019,4,1,881.64,881.64,47.2,26.0,4,1,5,415,10,1,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10023,10,1,49.44,49.44,2.7,6.0,1,1,1,111,3,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10024,10,1,3.82,3.82,13.2,6.0,1,1,1,111,3,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10026,8,1,63.46,63.46,6.3,8.0,2,1,2,212,5,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10027,9,1,308.93,308.93,44.9,30.0,1,1,4,114,6,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10038,10,1,100.34,100.34,12.0,12.0,1,1,2,112,4,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10043,7,1,587.01,587.01,68.3,11.0,3,1,5,315,9,1,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10044,3,1,65.78,65.78,13.4,10.0,4,1,2,412,7,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10045,2,2,266.77,133.385,294.4,7.0,5,4,4,544,13,5,Occasional Buyers,Average customers - Opportunity for targeted campaigns
10054,7,1,200.58,200.58,46.6,16.0,3,1,3,313,7,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10056,7,1,299.82,299.82,22.3,34.0,3,1,4,314,8,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10059,7,2,284.3,142.15,15.450000000000001,14.5,3,4,4,344,11,0,Loyal Customers,Consistent buyers with high spending - Great for retention programs
10060,7,1,188.13,188.13,25.2,23.0,3,1,3,313,7,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10062,4,1,78.43,78.43,41.1,11.0,4,1,2,412,7,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10063,1,2,283.80999999999995,141.90499999999997,16.9,17.0,5,4,4,544,13,5,Occasional Buyers,Average customers - Opportunity for targeted campaigns
10065,9,1,192.03,192.03,20.1,17.0,1,1,3,113,5,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10070,3,1,114.62,114.62,18.1,14.0,4,1,2,412,7,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10073,7,1,1.45,1.45,17.6,6.0,3,1,1,311,5,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10077,7,1,10.24,10.24,8.4,7.0,3,1,1,311,5,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10081,3,2,1195.67,597.835,27.65,63.0,4,4,5,445,13,3,Champions,"Best customers - Buy frequently, spend the most, and purchased recently"
10087,3,3,470.36,156.78666666666666,22.566666666666666,15.666666666666666,4,5,5,455,14,5,Occasional Buyers,Average customers - Opportunity for targeted campaigns
10088,8,1,78.1,78.1,45.5,7.0,2,1,2,212,5,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10089,2,2,76.49,38.245,306.0,8.5,5,4,2,542,11,5,Occasional Buyers,Average customers - Opportunity for targeted campaigns
10092,7,1,67.24,67.24,8.4,7.0,3,1,2,312,6,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10095,6,2,265.32,132.66,36.25,3.5,3,4,4,344,11,0,Loyal Customers,Consistent buyers with high spending - Great for retention programs
10096,5,1,281.88,281.88,11.2,33.0,3,1,4,314,8,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10098,4,1,388.13,388.13,32.6,13.0,4,1,4,414,9,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10099,5,1,92.15,92.15,13.3,10.0,3,1,2,312,6,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10100,2,1,186.35,186.35,563.0,13.0,5,1,3,513,9,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10101,4,1,95.94,95.94,13.2,10.0,4,1,2,412,7,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10103,1,2,65.10000000000001,32.550000000000004,22.25,8.5,5,4,2,542,11,5,Occasional Buyers,Average customers - Opportunity for targeted campaigns
10106,5,1,1050.91,1050.91,50.3,104.0,3,1,5,315,9,1,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10107,2,1,341.27,341.27,591.0,31.0,5,1,4,514,10,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10110,9,1,20.9,20.9,27.1,8.0,1,1,1,111,3,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10114,2,2,287.52,143.76,312.05,16.5,5,4,4,544,13,5,Occasional Buyers,Average customers - Opportunity for targeted campaigns
10115,4,1,22.83,22.83,5.4,7.0,4,1,1,411,6,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10118,7,2,234.98,117.49,36.3,12.0,3,4,3,343,10,0,Loyal Customers,Consistent buyers with high spending - Great for retention programs
10119,7,1,158.28,158.28,30.5,16.0,3,1,3,313,7,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10123,7,1,94.01,94.01,7.6,12.0,3,1,2,312,6,4,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
10124,5,1,22.81,22.81,9.7,8.0,3,1,1,311,5,2,New Customers,Recent buyers with few purchases - Focus on onboarding and retention
10126,3,1,577.41,577.41,34.2,54.0,4,1,5,415,10,1,At Risk,Previously good customers who haven't purchased recently - Need re-engagement
